2	&Aliy-i-Sayyah	&‘Alíy-i-Sayyah
1	&Bahá’ísm	&Bahá'ism
2	'ABBUD	'ABBÚD
2	'ABDU'R-RAHIM	'ABDU'R-RAḤÍM
1	'ALA-AD-DIN	'ALA-AD-DÍN
1	'ARAB	‘ARAB
2	'Abdu'1-Bahá	‘Abdu’l-Bahá
1	'Abdu'1-Bahá's	‘Abdu’l-Bahá's
1	'Abdu'1Bahá'	‘Abdu’l-Bahá'
2	'Abdu1-Bahá	‘Abdu’l-Bahá
9	'Abú’l-Qásim	'Abu’l-Qásim
1	'Abú’l-Qásim-i-Kashi'	'Abu’l-Qásim-i-Kashí'
6	'Adudu'd-Dawla	'Adudu'd-Dawlih
1	'Akbar-i-Shahmirzadi	'Akbar-i-S_háhmírzádí
11	'Ala'	‘Alá’
2	'Ala'u'd-Dawla	‘Alá’u'd-Dawlih
20	'Ala'u'd-Dawlih	‘Alá’u'd-Dawlih
1	'Ala'u'd-Dawlih's	‘Alá’u'd-Dawlih's
5	'Ala'u'd-Din	‘Alá’u'd-Dín
4	'Alai'd-Din	'Alai'd-Dín
1	'Alamu'd-Din	'Alamu'd-Dín
5	'Aliy-i	‘Alíy-i
2	'Aliy-i Bastami	‘Alíy-i Bastamí
1	'Aliy-i-	‘Alíy-i-
3	'Aliy-i-'Arab	‘Alíy-i-‘Arab
1	'Aliy-i-'Azim	‘Alíy-i-'Azim
3	'Aliy-i-Afnán	‘Alíy-i-Afnán
3	'Aliy-i-Arbab	‘Alíy-i-Arbab
14	'Aliy-i-Bastami	‘Alíy-i-Bastamí
1	'Aliy-i-Bastami_	‘Alíy-i-Bastamí_
1	'Aliy-i-Burujirdi	‘Alíy-i-Burújirdí
1	'Aliy-i-Hayiri	‘Alíy-i-Hayiri
1	'Aliy-i-Iṣfahání	‘Alíy-i-Iṣfahání
8	'Aliy-i-Kani	‘Alíy-i-Kani
1	'Aliy-i-Kirmani	‘Alíy-i-Kirmání
1	'Aliy-i-Kirmanshahi	‘Alíy-i-Kirmáns_háhí
1	'Aliy-i-Lash-Furush	‘Alíy-i-Lás-Furús_h
1	'Aliy-i-Malmiri	‘Alíy-i-Málmírí
1	'Aliy-i-Maraghi'i	‘Alíy-i-Marág_hi'í
5	'Aliy-i-Miri	‘Alíy-i-Mírí
1	'Aliy-i-Misri	‘Alíy-i-Misri
1	'Aliy-i-Mlri	‘Alíy-i-Mírí
1	'Aliy-i-Nayrizi	‘Alíy-i-Nayrízí
3	'Aliy-i-Nuri	‘Alíy-i-Núrí
1	'Aliy-i-Pishnamaz	‘Alíy-i-Pishnamaz
1	'Aliy-i-Sabzavari	‘Alíy-i-Sabzivárí
1	'Aliy-i-Sabzivari	‘Alíy-i-Sabzivárí
2	'Aliy-i-Sardar	‘Alíy-i-Sardár
11	'Aliy-i-Sayyah	‘Alíy-i-Sayyah
1	'Aliy-i-Sayyah, Muḥammad-Baqir-i-Qahvih-chi	‘Alíy-i-Sayyah, Muḥammad-Báqir-i-Qahvih-chi
1	'Aliy-i-Tabrizi	‘Alíy-i-Tabrízí
1	'Aliy-i-Tafrishi	‘Alíy-i-Tafrís_hí
1	'Aliy-i-Turshizi	‘Alíy-i-Turs_hízí
5	'Aliy-i-Yazdí	‘Alíy-i-Yazdí
1	'Aliy-i-Zunuzi	‘Alíy-i-Zunúzí
2	'Alláhu abha'	'Alláh-u-Abhá'
3	'Alláh–u–Abhá!'	'Alláh-u-Abhá!'
16	'Alláh–u–Abhá'	'Alláh-u-Abhá'
1	'Alláh–u–Abhá'--God	'Alláh-u-Abhá'--God
3	'Alláh–u–Abhá.'	'Alláh-u-Abhá.'
2	'Alá'	‘Alá’
1	'Alá'u'd-Dawlih	‘Alá’u'd-Dawlih
1	'Alíy-i	‘Alíy-i
1	'Alíy-i-Kaní	‘Alíy-i-Kaní
1	'Alíy-i-Kirmani	‘Alíy-i-Kirmání
1	'Alíy-i-Sabzivárí	‘Alíy-i-Sabzivárí
2	'Alíy-i-Sayyáh	‘Alíy-i-Sayyáh
14	'Arab	‘Arab
2	'Arab's	‘Arab's
4	'Arab-Baghi	‘Arab-Baghi
2	'Arab-i-K_hán	‘Arab-i-K_hán
7	'Asma	'Asmá’
8	'Asma'	'Asmá’
4	'Ata-Malik-i-Juvayni	'Ata-Malik-i-Juvayní
1	'Azali'	'Azalí'
5	'Azamat	‘Aẓamat
3	'Azim-i-Tafrishi	'Azim-i-Tafrís_hí
1	'BAGDADI	'BAG_HDÁDI
1	'BAHÁ’ÍST	'BAHAIST
2	'Bahá’ísm	'Bahaism
2	'Bahá’ísm	'Bahá'ism
1	'Bahá’ísm'	'Bahaism'
3	'Bahá’ísm'	'Bahá'ism'
1	'Bahá’ísm.'	'Bahaism.'
1	'Bahá’ísmus'	'Bahá'ísmus'
3	'INAYATU'LLAH	‘INÁYATU’LLÁH
1	'IS_HRÁQÁT	'ISHRÁQÁT
1	'Ibn-Abhár	'Ibn-Abhar
1	'Ibn-Abhár?'	'Ibn-Abhar?'
8	'Ilm	‘Ilm
1	'Ilm ad-Din	‘Ilm ad-Dín
1	'Ilm ad-Din_	‘Ilm ad-Dín_
2	'Ilm-i-Kelam	‘Ilm-i-Kelam
1	'Ilm-i-nujum	‘Ilm-i-nujum
1	'Ilm-i-rami	‘Ilm-i-rami
6	'Imadi'd-Din	'Imadi'd-Dín
11	'Imadu'd-Dawla	'Imadu'd-Dawlih
4	'Imadu'd-Din	'Imadu'd-Dín
1	'Isma'il	'Ismá’íl
6	'Izzi'd-Din	'Izzi'd-Dín
1	'Izzu'd-Dawla	'Izzu'd-Dawlih
4	'Izzu'd-Din	'Izzu'd-Dín
1	'Izzud-Dawla	'Izzud-Dawlih
1	'Jenab-i-Khadimu'llah'	'Jináb-i-Khadimu'llah'
1	'Jinab-i-K_hán	'Jináb-i-K_hán
1	'Jinab-i-Mu'allim'	'Jináb-i-Mu'allim'
1	'Jinab-i-Mujtahid	'Jináb-i-Mujtahid
1	'Jinab-i-Mullá	'Jináb-i-Mullá
1	'Jinab-i-Samandarí'	'Jináb-i-Samandarí'
1	'Jinab-i-Ḥájí	'Jináb-i-Ḥájí
1	'KHAN	'K_HÁN
1	'Las Furush'	'Lás-Furús_h'
9	'Muhajir	'Muḥájír
1	'Muhajir! Muhajir!'	'Muḥájír! Muḥájír!'
2	'Muhajir'	'Muḥájír'
1	'Muhajir-Inspired	'Muḥájír-Inspired
1	'Qayyum-i-Asma'	'Qayyum-i-Asmá’
1	'Rahmat	'Raḥmat
1	'Rahmat'	'Raḥmat'
1	'Rahmat'ullah	'Raḥmat'ullah
1	'S_hayk_hi	'S_hayk_hí
1	'S_hírázee'	'S_hírází'
1	'Sardar	'Sardár
1	'Seyyed	'Siyyid
1	'Shahinshah'	'S_háhins_háh'
1	'Uddatu'd-Dawla	'Uddatu'd-Dawlih
1	'Ulamay-i-Tabriz	'Ulamay-i-Tabríz
1	'Ulumi'd-Din_	'Ulumi'd-Dín_
1	'd-Din	'd-Dín
1	'd-Din-i-Afnán	'd-Dín-i-Afnán
1	'qahviyi-\lkhánigí	'qahviyi-k_hánigí
1	'un-Muhajir-like'! Rahmat	'un-Muḥájír-like'! Raḥmat
1	'Ḥasan-i-Mázindaráni'	'Ḥasan-i-Mázindarání'
1	--‘Azíz’u’lláh	--‘Azízu’lláh
1	-i-Haykalu'd-Din	-i-Haykalu'd-Dín
1	<em>ta\lkht-i-raván</em>	<em>tak_ht-i-raván</em>
7	ABU'L-FADL	ABU’L-FAḌL
1	ABU'L-FADL'S	ABU’L-FAḌL'S
1	ABU'L-QASIM	ABU’L-QÁSIM
1	ABU'L-QASIM AFNAN	ABU’L-QÁSIM AFNÁN
1	ABU'L-QASIM-I-FIRAHANI, QÁ’IM-MAQAM	ABU’L-QÁSIM-I-FIRAHANI, QÁ’IM-MÁQÁM
2	ABU’L	ABL
2	ABU’L-FADL	ABU’L-FAḌL
1	ABU’L-QASIM	ABU’L-QÁSIM
3	AFNAN	AFNÁN
1	AFNAN-I-KABIR	AFNÁN-I-KABIR
1	AGHSAN	AG_HṢÁN
1	AL-BAQARAH	AL-BÁQÁRAH
1	ALIY-I-SAYYAH	‘ALÍY-I-SAYYAH
1	ALLAH-VIRDI	ALLÁH-VIRDI
1	ALLAHO ABHÁ	ALLÁH-U-ABHÁ
2	ALLÁH–U–ABHÁ	ALLÁH-U-ABHÁ
1	AMITABHÁ	AMITABHA
1	AMÍR	AMIR
1	AMÍR-KIYA BAQA	AMIR-KIYA BÁQÁ
10	AQA	ÁQÁ
1	AQA KHAN-l-QÁ’IM-MAQAMI	ÁQÁ K_HÁN-l-QÁ’IM-MÁQÁMI
1	AQAY-I-KALIM	ÁQÁY-I-KALÍM
1	A\lshraf	As_hraf
2	Abdu1 Bahá	‘Abdu’l-Bahá
3	Abhándlung	Abhandlung
2	Abhándlungen	Abhandlungen
8	Abhár	Abhar
1	Abhár, Ibn-i-Abhár	Abhar, Ibn-i-Abhar
1	Abi-Tálib	Abi-Talib
1	Abmadu'd-Din	Abmadu'd-Dín
7	Abu'l-	Abu’l-
1	Abu'l- Qasim	Abu’l-Qásim
1	Abu'l-'Ala	Abu’l-'Ala
9	Abu'l-'As	Abu’l-'As
1	Abu'l-'Attar	Abu’l-'Attar
